"","cluster"
"NLGN4X",2
"NMD3",2
"NODAL",2
"NOL11",2
"NTS",2
"NUCB2",2
"NUP35",2
"NUP54",2
"NUSAP1",2
"NXT2",2
"OLFML3",2
"ORC5",2
"OTUD6B",2
"P4HA1",2
"PAK1IP1",2
"PAN3",2
"PAPD4",2
"PAPSS1",2
"PARPBP",2
"PERP",2
"PFN2",2
"PHACTR2",2
"PHLDA1",2
"PIP4K2A",2
"PLK4",2
"PLP1",2
"PLS1",2
"PMAIP1",2
"PMEL",2
"PNRC2",2
"PODXL",2
"POLR3G",2
"PON2",2
"PPAT",2
"PPIP5K2",2
"PPM1H",2
"PPP3CA",2
"PPP6C",2
"PPT1",2
"PRICKLE1",2
"PRIM1",2
"PROM1",2
"PRTG",2
"PSAT1",2
"PTBP2",2
"PTGR1",2
"PTPRZ1",2
"RAB18",2
"RAB31",2
"RAD17",2
"RAP2B",2
"RAP2C",2
"RASL11B",2
"RAVER2",2
"RBM18",2
"RCBTB2",2
"RCHY1",2
"RHOBTB3",2
"RICTOR",2
"RINT1",2
"RND3",2
"RNF13",2
"RNF168",2
"RPS6KB1",2
"RRM2B",2
"SACS",2
"SATB1",2
"SC5DL",2
"SCG5",2
"SCOC",2
"SCYL2",2
"SDCBP",2
"SEL1L3",2
"SEMA3A",2
"SEMA6A",2
"SERINC5",2
"SERPINB9",2
"SERPINE2",2
"SFRP1",2
"SFRP2",2
"SGOL2",2
"SH3BGRL",2
"SHISA2",2
"SIRT1",2
"SKA3",2
"SLC16A9",2
"SLC30A7",2
"SLC35A5",2
"SLC38A9",2
"SLC39A10",2
"SLC39A9",2
"SLC6A15",2
"SMAD2",2
"SMARCAD1",2
"SMC6",2
"SMN1",2
"SMN2",2
"SNTB1",2
"SNX2",2
"SOCS2",2
"SOX2",2
"SPP1",2
"STAT1",2
"STRN3",2
"STT3B",2
"STXBP3",2
"SYNC",2
"T",2
"TADA1",2
"TAF9B",2
"TBX3",2
"TCF7L2",2
"TDP2",2
"TFAP2A",2
"TGDS",2
"TGFBR1",2
"TIPIN",2
"TLK1",2
"TMEM106C",2
"TMEM48",2
"TMEM66",2
"TOM1L1",2
"TOP2A",2
"TOX",2
"TPD52",2
"TRIM59",2
"TRNT1",2
"TSN",2
"TTK",2
"TUB",2
"TWF1",2
"TXLNA",2
"TXNDC9",2
"UBE2W",2
"UBXN8",2
"UCHL5",2
"UGP2",2
"USP1",2
"USP44",2
"VASH2",2
"VAT1L",2
"VIM",2
"VRK1",2
"VSIG10",2
"VSNL1",2
"VTA1",2
"WDFY1",2
